 9.3763990 +32.9691162 LEO  O
10.0056257 +32.9022789 LEO  O
10.0028229 +27.9024086 LEO  O
10.6158934 +27.8529167 LEO  O
10.6140585 +22.8529778 LEO  O
10.8628359 +22.8376045 LEO  O
10.8634329 +24.8375893 LEO  O
11.1120625 +24.8250446 LEO  O
11.1129332 +28.3250256 LEO  O
11.9739294 +28.3040466 LEO  O
11.9736357 +13.3040485 LEO  O
11.9735823 +10.3040485 LEO  O
11.6243792 +10.3082914 LEO  O
11.6233683 -00.6916979 LEO  O
11.6228199 -06.6916924 LEO  O
10.8551426 -06.6621790 LEO  O
 9.3763990 +32.9691162 LMI  O
 9.3814421 +39.2188187 LMI  O
 9.7121315 +39.1817665 LMI  O
 9.7139492 +41.4316750 LMI  O
10.2918816 +41.3773613 LMI  O
10.2906275 +39.3774109 LMI  O
10.9015446 +39.3356133 LMI  O
10.8992939 +33.3356781 LMI  O
11.1142817 +33.3249931 LMI  O
11.1129332 +28.3250256 LMI  O
11.1120625 +24.8250446 LMI  O
10.8634329 +24.8375893 LMI  O
10.8628359 +22.8376045 LMI  O
10.6140585 +22.8529778 LMI  O
10.6158934 +27.8529167 LMI  O
10.0028229 +27.9024086 LMI  O
10.0056257 +32.9022789 LMI  O
 4.9172864 -27.0479794 LEP  O
 5.0836625 -27.0772038 LEP  O
 6.1995044 -27.2787991 LEP  O
 6.2143750 -11.0301533 LEP  O
 5.9310527 -10.9785318 LEP  O
 5.1813354 -10.8432293 LEP  O
 5.0147834 -10.8138046 LEP  O
 5.0119143 -14.3135529 LEP  O
 4.9286532 -14.2989721 LEP  O
15.1902008 -00.4742887 LIB  O
14.7735395 -00.5269387 LIB  O
14.7778072 -08.5266848 LIB  O
14.3605671 -08.5731344 LIB  O
14.3675394 -22.5727749 LIB  O
14.3689127 -25.0727024 LIB  O
15.0384369 -24.9951096 LIB  O
15.0420513 -29.9948788 LIB  O
15.7953320 -29.8896160 LIB  O
15.7875376 -20.3902016 LIB  O
16.0381184 -20.3516178 LIB  O
16.0291519 -08.3523235 LIB  O
16.0257969 -03.6025870 LIB  O
15.1921301 -03.7241600 LIB  O
18.9518108 +25.6641407 LYR  O
18.9513245 +26.1640968 LYR  O
18.4508591 +26.0743504 LYR  O
18.4467182 +30.0739765 LYR  O
18.2549591 +30.0391560 LYR  O
18.2311249 +47.5369873 LYR  O
18.2894917 +47.5476036 LYR  O
19.1413765 +47.6998672 LYR  O
19.2250347 +47.7143936 LYR  O
19.2313538 +43.7149391 LYR  O
19.4655685 +43.7550354 LYR  O
19.4746437 +36.7558022 LYR  O
19.4328403 +36.7487144 LYR  O
19.4399185 +30.2493153 LYR  O
19.3396835 +30.2321968 LYR  O
19.3421764 +27.7324085 LYR  O
19.3440876 +25.7325745 LYR  O
20.4598637 -27.5913391 MIC  O
21.4554424 -27.4596672 MIC  O
21.4618702 -36.4592972 MIC  O
21.4694881 -44.9588585 MIC  O
20.4779530 -45.0900002 MIC  O
 6.3483787 -00.0537102 MON  O
 6.3565354 +09.9455481 MON  O
 6.4231777 +09.9334478 MON  O
 6.4248509 +11.9332972 MON  O
 7.0495210 +11.8213453 MON  O
 7.0478973 +09.8214874 MON  O
 7.1145253 +09.8097754 MON  O
 7.1109548 +05.3100886 MON  O
 7.1276183 +05.3071680 MON  O
 7.1244931 +01.3074419 MON  O
 7.3077946 +01.2755718 MON  O
 7.3066444 -00.2243290 MON  O
 8.1899338 -00.3693900 MON  O
 8.1822786 -11.3687992 MON  O
 7.4648933 -11.2521448 MON  O
 6.2143750 -11.0301533 MON  O
 5.9310527 -10.9785318 MON  O
 5.9368248 -03.9790573 MON  O
 6.3451428 -04.0534163 MON  O
16.3735085 -00.2963768 OPH  O
16.3705730 +03.7033811 OPH  O
16.8537273 +03.7852108 OPH  O
16.8467655 +12.6179380 OPH  O
17.3463898 +12.7061481 OPH  O
17.3451252 +14.2060347 OPH  O
18.3448849 +14.3874788 OPH  O
18.3468723 +12.0543308 OPH  O
18.7592030 +12.1287737 OPH  O
18.7639046 +06.3791943 OPH  O
18.3516407 +06.3047633 OPH  O
18.3530674 +04.5548930 OPH  O
18.5280704 +04.5866175 OPH  O
18.5292816 +03.0867271 OPH  O
18.3542824 +03.0550034 OPH  O
18.3567066 +00.0552235 OPH  O
17.9400692 -00.0206471 OPH  O
17.9433136 -04.0203514 OPH  O
18.0766449 -03.9960551 OPH  O
18.0815811 -09.9956055 OPH  O
17.7815838 -10.0502338 OPH  O
17.7829800 -11.7167768 OPH  O
17.6996269 -11.7319136 OPH  O
17.6982327 -10.0653696 OPH  O
17.2814713 -10.1404381 OPH  O
17.2864952 -16.1399899 OPH  O
17.7200127 -16.0618820 OPH  O
17.7334557 -30.0606632 OPH  O
16.8823566 -30.2123089 OPH  O
16.8770447 -24.7960968 OPH  O
16.3927631 -24.8781185 OPH  O
16.3881989 -19.5451660 OPH  O
16.4967117 -19.5271549 OPH  O
16.4958820 -18.5272255 OPH  O
16.3873787 -18.5452347 OPH  O
16.3794136 -08.2958899 OPH  O
16.0291519 -08.3523235 OPH  O
16.0257969 -03.6025870 OPH  O
16.3758926 -03.5461800 OPH  O
 4.7234907 +00.2375014 ORI  O
 4.7356019 +15.7364635 ORI  O
 5.0859284 +15.6755352 ORI  O
 5.0863519 +16.1754990 ORI  O
 5.4532475 +16.1101055 ORI  O
 5.4528155 +15.6101446 ORI  O
 5.7195764 +15.5619202 ORI  O
 5.7170038 +12.5621548 ORI  O
 5.8836913 +12.5318508 ORI  O
 5.8884778 +18.0314159 ORI  O
 5.8217988 +18.0435486 ORI  O
 5.8262529 +22.8764725 ORI  O
 6.0096025 +22.8430862 ORI  O
 6.0083437 +21.5098724 ORI  O
 6.3416085 +21.4491768 ORI  O
 6.3379717 +17.4495068 ORI  O
 6.4295945 +17.4328651 ORI  O
 6.4248509 +11.9332972 ORI  O
 6.4231777 +09.9334478 ORI  O
 6.3565354 +09.9455481 ORI  O
 6.3483787 -00.0537102 ORI  O
 6.3451428 -04.0534163 ORI  O
 5.9368248 -03.9790573 ORI  O
 5.9310527 -10.9785318 ORI  O
 5.1813354 -10.8432293 ORI  O
 5.1869597 -03.8437285 ORI  O
 4.7704239 -03.7708201 ORI  O
 4.7734876 +00.2289162 ORI  O
21.4388981 +02.5393796 PEG  O
21.4334068 +13.0390635 PEG  O
21.2163010 +13.0132008 PEG  O
21.2166843 +12.3465548 PEG  O
21.1498909 +12.3382607 PEG  O
21.1452522 +20.0046406 PEG  O
21.3458939 +20.0290813 PEG  O
21.3434467 +24.0289364 PEG  O
21.5108013 +24.0482101 PEG  O
21.5080109 +28.5480537 PEG  O
21.8263454 +28.5817947 PEG  O
21.8213310 +36.5815468 PEG  O
21.9640675 +36.5953827 PEG  O
22.0900307 +36.6069069 PEG  O
22.0906372 +35.6069336 PEG  O
22.9137688 +35.6656113 PEG  O
22.9139462 +35.1656151 PEG  O
22.9643536 +35.1682358 PEG  O
23.6029453 +35.1913109 PEG  O
23.6032772 +32.7746468 PEG  O
23.8552055 +32.7785072 PEG  O
23.8552494 +32.0285034 PEG  O
 0.1071318 +32.0293655 PEG  O
 0.1070811 +28.6960354 PEG  O
 0.1741895 +28.6957588 PEG  O
 0.1740011 +22.6957588 PEG  O
 0.2493763 +22.6951923 PEG  O
 0.2493281 +21.6951923 PEG  O
 0.2489412 +13.1951942 PEG  O
 0.1068783 +13.1960354 PEG  O
 0.1068487 +10.6960354 PEG  O
23.9398079 +10.6957970 PEG  O
23.9398689 +08.1957970 PEG  O
22.8547611 +08.1621685 PEG  O
22.8561478 +02.6622071 PEG  O
22.1058178 +02.6076074 PEG  O
22.1059170 +02.3576119 PEG  O
21.7724724 +02.3256910 PEG  O
21.7720146 +03.3256676 PEG  O
21.5719166 +03.3043909 PEG  O
21.5722847 +02.5544112 PEG  O
 2.8418920 +31.1865025 PER  O
 2.8444312 +34.5196762 PER  O
 2.6934922 +34.5375137 PER  O
 2.6956439 +37.2873878 PER  O
 2.6452894 +37.2931557 PER  O
 2.6590319 +51.0423737 PER  O
 2.1782534 +51.0925827 PER  O
 2.1747661 +47.5927505 PER  O
 1.7954293 +47.6258430 PER  O
 1.7979016 +50.6257439 PER  O
